season,player_name,team_name,matches,innings,runs,batting_avg,strike_rate,fours,sixes,fifties,hundreds,wickets,economy,bowling_avg
2020/21,Kartik Tyagi,Gujarat Titans,4,1,2,4.06,73.69,0,0,0,0,3,11.08,54.1
2021,Kartik Tyagi,Kolkata Knight Riders,3,1,3,2.78,88.01,0,0,0,0,2,9.81,37.52
2022,Kartik Tyagi,Rajasthan Royals,5,2,3,4.97,91.05,0,0,0,0,3,9.24,48.46
2023,Kartik Tyagi,Sunrisers Hyderabad,3,1,1,3.04,76.36,0,0,0,0,2,10.22,52.59
2024,Kartik Tyagi,Sunrisers Hyderabad,5,2,3,2.99,85.17,0,0,0,0,4,9.74,39.26
2025,Kartik Tyagi,Sunrisers Hyderabad,3,1,2,4.93,96.11,0,0,0,0,3,9.25,41.7
2026,Kartik Tyagi,Sunrisers Hyderabad,3,1,1,3.76,97.82,0,0,0,0,2,10.32,54.92
2016,Kuldeep Yadav,Delhi Capitals,10,4,10,8.45,95.81,2,0,0,0,15,7.35,31.78
2017,Kuldeep Yadav,Kolkata Knight Riders,8,3,12,13.0,87.8,2,0,0,0,5,8.6,28.12
2018,Kuldeep Yadav,Kolkata Knight Riders,12,5,23,9.7,77.01,2,0,0,0,7,7.88,26.4
2019,Kuldeep Yadav,Kolkata Knight Riders,8,3,10,7.35,77.97,1,0,0,0,5,8.19,21.99
2020/21,Kuldeep Yadav,Kolkata Knight Riders,9,4,15,8.03,97.13,2,0,0,0,5,7.55,29.63
2021,Kuldeep Yadav,Kolkata Knight Riders,8,3,14,11.13,86.6,1,0,0,0,11,8.36,29.55
2022,Kuldeep Yadav,Kolkata Knight Riders,9,4,22,7.44,75.47,1,0,0,0,5,8.39,28.18
2023,Kuldeep Yadav,Kolkata Knight Riders,8,3,18,16.07,81.75,1,0,0,0,13,8.8,30.74
2024,Kuldeep Yadav,Kolkata Knight Riders,6,2,13,12.65,83.2,1,0,0,0,12,7.31,22.46
2025,Kuldeep Yadav,Kolkata Knight Riders,7,3,17,8.0,92.05,2,0,0,0,10,8.1,23.01
2026,Kuldeep Yadav,Kolkata Knight Riders,10,4,19,16.77,98.07,1,0,0,0,12,7.33,23.34
2010,L Ablish,Kings XI Punjab,2,1,0,14.02,0,0,0,0,0,1,10.85,28.42
2011,L Ablish,Kings XI Punjab,2,1,0,21.49,0,0,0,0,0,2,11.65,29.09
2008,L Balaji,Chennai Super Kings,14,3,6,3.0,75.7,0,0,0,0,18,8.69,26.32
2009,L Balaji,Kings XI Punjab,13,3,4,3.36,74.81,0,0,0,0,10,7.62,25.74
2010,L Balaji,Kolkata Knight Riders,8,2,2,3.78,75.12,0,0,0,0,18,8.51,26.36
2011,L Balaji,Kolkata Knight Riders,10,2,3,5.41,68.99,0,0,0,0,13,7.55,30.77
2012,L Balaji,Kolkata Knight Riders,12,2,7,4.0,64.87,0,0,0,0,17,8.45,30.43
2013,L Balaji,Kolkata Knight Riders,7,1,8,2.87,80.21,0,0,0,0,7,8.09,21.54
2014,L Balaji,Kolkata Knight Riders,6,1,2,2.88,68.77,0,0,0,0,12,7.91,25.13
2018,L Ngidi,Chennai Super Kings,2,1,0,3.47,38.2,0,0,0,0,3,8.59,22.52
2019,L Ngidi,Delhi Capitals,1,1,1,4.02,44.52,0,0,0,0,1,7.76,17.97
2020/21,L Ngidi,Royal Challengers Bengaluru,2,1,0,2.55,37.27,0,0,0,0,4,9.05,18.65
2021,L Ngidi,Royal Challengers Bengaluru,2,1,1,3.71,39.22,0,0,0,0,3,8.48,21.09
2022,L Ngidi,Royal Challengers Bengaluru,2,1,0,3.63,46.22,0,0,0,0,4,8.74,22.43
2023,L Ngidi,Royal Challengers Bengaluru,2,1,0,3.7,38.56,0,0,0,0,5,7.86,17.73
2024,L Ngidi,Royal Challengers Bengaluru,2,1,0,1.84,36.91,0,0,0,0,6,7.68,17.72
2025,L Ngidi,Royal Challengers Bengaluru,1,1,0,2.4,45.9,0,0,0,0,3,8.03,22.64
2026,L Ngidi,Royal Challengers Bengaluru,2,1,0,3.54,46.06,0,0,0,0,5,8.33,18.21
2008,L Ronchi,Mumbai Indians,4,4,21,6.26,85.58,3,0,0,0,0,8.01,33.33
2009,L Ronchi,Mumbai Indians,3,3,18,5.29,98.7,4,0,0,0,0,9.01,30.13
2024,L Wood,Mumbai Indians,2,1,10,25.41,273.74,0,1,0,0,1,14.66,85.94
2009,LA Carseldine,Rajasthan Royals,3,3,88,18.21,126.78,6,0,1,0,1,5.47,5.35
2008,LA Pomersbach,Kings XI Punjab,4,4,40,34.45,122.3,6,1,0,0,0,9.26,27.89
2009,LA Pomersbach,Royal Challengers Bangalore,3,3,62,22.47,109.96,4,2,0,0,0,8.82,27.59
2010,LA Pomersbach,Royal Challengers Bangalore,2,2,43,18.39,116.16,5,1,0,0,0,9.03,35.3
2011,LA Pomersbach,Royal Challengers Bangalore,4,4,79,24.05,105.13,5,2,1,0,0,8.03,32.26
2012,LA Pomersbach,Royal Challengers Bangalore,3,3,49,23.79,122.66,6,2,1,0,0,8.26,35.39
2013,LA Pomersbach,Royal Challengers Bangalore,3,3,59,38.01,119.43,4,3,0,0,0,8.98,25.44
2024,LB Williams,Delhi Capitals,2,1,1,27.18,48.99,0,0,0,0,1,10.82,80.04
2018,LE Plunkett,Delhi Daredevils,4,1,1,1.13,33.34,0,0,0,0,3,9.27,58.4
2025,LG Pretorius,Rajasthan Royals,1,1,0,26.93,103.51,0,0,0,0,0,7.71,24.53
2017,LH Ferguson,Gujarat Titans,3,1,5,17.26,168.4,1,0,0,0,6,9.07,30.46
2018,LH Ferguson,Kolkata Knight Riders,3,1,12,25.05,135.45,1,0,0,0,9,8.92,30.43
2019,LH Ferguson,Punjab Kings,8,2,4,21.13,131.83,1,0,0,0,6,8.67,28.8
2020/21,LH Ferguson,Rising Pune Supergiant,3,1,8,17.4,152.65,0,0,0,0,8,9.37,35.8
2021,LH Ferguson,Royal Challengers Bengaluru,6,1,8,21.15,143.2,1,0,0,0,5,8.47,32.69
2022,LH Ferguson,Royal Challengers Bengaluru,6,1,12,24.39,157.71,1,0,0,0,7,9.1,25.24
2023,LH Ferguson,Royal Challengers Bengaluru,5,1,4,21.84,142.32,1,0,0,0,2,8.85,30.32
2024,LH Ferguson,Royal Challengers Bengaluru,7,2,12,16.01,144.2,1,0,0,0,5,8.7,31.29
2025,LH Ferguson,Royal Challengers Bengaluru,7,2,8,31.99,160.35,0,0,0,0,3,9.75,24.2
2021,LI Meriwala,Delhi Capitals,1,1,0,15.84,118.91,0,0,0,0,1,11.29,25.84
2012,LJ Wright,Pune Warriors,4,3,31,19.77,169.83,5,1,0,0,1,10.83,49.91
2013,LJ Wright,Pune Warriors,5,4,40,18.17,185.04,8,2,0,0,2,10.04,74.22
2014,LMP Simmons,Mumbai Indians,10,10,381,42.13,126.49,17,10,2,1,0,10.73,34.14
2015,LMP Simmons,Mumbai Indians,9,9,188,31.0,133.15,22,12,2,0,0,11.51,31.16
2016,LMP Simmons,Mumbai Indians,9,9,339,27.38,145.32,21,14,1,0,0,11.66,31.47
2017,LMP Simmons,Mumbai Indians,6,6,277,49.5,113.6,25,6,1,1,0,11.22,31.65
2008,LPC Silva,Deccan Chargers,4,4,18,18.12,152.37,4,1,0,0,0,23.0,25.23
2008,LR Shukla,Delhi Daredevils,9,7,30,15.2,120.19,4,2,0,0,3,8.55,34.67
2009,LR Shukla,Kolkata Knight Riders,9,7,82,11.61,102.77,5,1,1,0,2,8.19,27.12
2010,LR Shukla,Kolkata Knight Riders,6,4,46,14.68,119.58,4,2,0,0,3,9.07,34.04
2011,LR Shukla,Kolkata Knight Riders,10,7,71,10.79,116.98,6,2,0,0,3,8.01,24.68
2012,LR Shukla,Kolkata Knight Riders,5,4,28,19.03,102.17,4,2,0,0,2,8.87,28.37
2013,LR Shukla,Kolkata Knight Riders,4,3,76,17.03,112.54,6,1,1,0,2,7.73,29.25
2014,LR Shukla,Kolkata Knight Riders,4,3,30,15.96,126.11,7,3,0,0,1,8.22,35.14
2008,LRPL Taylor,Delhi Daredevils,8,8,156,28.86,113.01,7,5,0,0,0,10.91,27.14
2009,LRPL Taylor,Pune Warriors,12,12,156,17.36,105.52,7,5,0,0,0,13.01,32.37
2010,LRPL Taylor,Rajasthan Royals,6,6,137,25.47,120.53,14,6,0,0,0,11.46,24.57
2011,LRPL Taylor,Royal Challengers Bangalore,8,8,70,19.28,114.91,8,4,1,0,0,12.63,28.68
2012,LRPL Taylor,Royal Challengers Bangalore,9,9,140,20.72,107.19,14,6,1,0,0,10.87,26.58
2013,LRPL Taylor,Royal Challengers Bangalore,12,12,137,27.54,113.69,14,7,0,0,0,12.5,28.72
2014,LRPL Taylor,Royal Challengers Bangalore,6,6,59,23.09,113.48,14,8,1,0,0,12.74,28.21
2019,LS Livingstone,Punjab Kings,9,9,117,17.4,171.91,10,8,1,0,1,9.9,37.55
2020/21,LS Livingstone,Rajasthan Royals,3,3,202,16.02,145.89,7,10,3,0,1,9.05,35.55
2021,LS Livingstone,Royal Challengers Bengaluru,7,7,135,26.32,154.62,5,5,2,0,3,8.55,40.52
2022,LS Livingstone,Sunrisers Hyderabad,4,4,131,35.44,173.09,10,12,2,0,2,8.67,41.95
2023,LS Livingstone,Sunrisers Hyderabad,4,4,202,17.12,137.72,5,11,1,1,2,8.87,29.61
2024,LS Livingstone,Sunrisers Hyderabad,4,4,208,22.99,172.51,10,10,2,0,1,8.61,32.21
2025,LS Livingstone,Sunrisers Hyderabad,9,9,113,18.94,159.31,6,7,0,1,1,9.51,29.24
2026,LS Livingstone,Sunrisers Hyderabad,3,3,152,32.14,160.07,11,12,2,0,1,8.84,33.88
2021,Lalit Yadav,Delhi Capitals,6,5,40,18.37,119.73,4,2,0,0,4,9.32,45.81
2022,Lalit Yadav,Delhi Capitals,10,8,103,23.81,115.35,8,2,0,0,4,8.63,39.6
2023,Lalit Yadav,Delhi Capitals,7,5,91,15.41,91.86,9,2,1,0,4,8.39,43.8
2024,Lalit Yadav,Delhi Capitals,6,5,34,11.53,100.87,6,2,0,0,3,8.81,37.89
2023,Litton Das,Kolkata Knight Riders,1,1,3,3.66,109.34,1,0,0,0,0,7.97,34.52
2016,M Ashwin,Kings XI Punjab,6,2,5,2.38,79.21,0,0,0,0,5,8.22,30.91
2017,M Ashwin,Mumbai Indians,4,1,2,4.49,80.13,0,0,0,0,6,8.79,31.84
2018,M Ashwin,Punjab Kings,7,2,5,3.35,72.54,0,0,0,0,2,8.79,26.65
2019,M Ashwin,Rajasthan Royals,7,2,2,4.87,68.41,0,0,0,0,4,8.56,32.66
2020/21,M Ashwin,Rising Pune Supergiants,6,2,2,5.27,77.46,0,0,0,0,1,8.29,33.94
2021,M Ashwin,Royal Challengers Bangalore,8,2,6,4.27,75.55,0,0,0,0,6,8.63,35.97
2022,M Ashwin,Royal Challengers Bangalore,4,1,2,4.39,70.61,0,0,0,0,4,8.63,39.56
2023,M Ashwin,Royal Challengers Bangalore,8,2,7,4.58,60.97,0,0,0,0,2,8.79,36.81
2021,M Jansen,Mumbai Indians,8,5,26,17.34,118.33,2,1,0,0,3,9.11,34.76
2022,M Jansen,Punjab Kings,6,3,33,14.4,105.85,2,1,0,0,4,9.34,30.53
2023,M Jansen,Sunrisers Hyderabad,5,3,35,8.97,117.02,2,2,0,0,8,9.73,36.03
2024,M Jansen,Sunrisers Hyderabad,4,2,37,15.55,117.79,1,1,0,0,10,8.72,38.05
2025,M Jansen,Sunrisers Hyderabad,5,3,36,16.86,101.86,1,1,0,0,10,9.17,29.74
2026,M Jansen,Sunrisers Hyderabad,9,5,29,15.17,115.34,1,1,0,0,6,8.61,39.16
2008,M Kaif,Kings XI Punjab,5,4,22,16.77,88.82,4,1,0,0,0,8.46,34.09
2009,M Kaif,Rajasthan Royals,3,2,61,13.1,115.68,2,2,1,0,0,8.55,35.15
2010,M Kaif,Royal Challengers Bangalore,3,2,66,19.61,117.7,5,1,1,0,0,7.85,26.14
2011,M Kaif,Royal Challengers Bangalore,4,3,52,9.46,112.81,5,2,0,0,0,8.19,31.89
2012,M Kaif,Royal Challengers Bangalore,6,5,78,15.2,106.76,6,1,1,0,0,8.48,30.95
2008,M Kartik,Kings XI Punjab,6,2,15,18.49,91.23,1,0,0,0,4,6.83,42.83
2009,M Kartik,Kolkata Knight Riders,12,3,14,18.11,116.01,1,0,0,0,2,6.75,52.79
2010,M Kartik,Pune Warriors,4,1,7,14.82,96.75,1,0,0,0,6,7.25,38.43
2011,M Kartik,Royal Challengers Bangalore,8,2,11,21.42,116.06,1,0,0,0,6,6.57,44.26
2012,M Kartik,Royal Challengers Bangalore,6,2,15,14.24,117.79,1,0,0,0,5,6.73,35.86
2013,M Kartik,Royal Challengers Bangalore,6,2,17,12.96,110.06,1,0,0,0,4,7.55,44.59
2014,M Kartik,Royal Challengers Bangalore,5,1,19,19.12,100.02,1,0,0,0,2,7.54,36.14
2011,M Klinger,Kochi Tuskers Kerala,5,5,97,21.32,84.24,6,0,1,0,0,8.0,24.57
2008,M Manhas,Chennai Super Kings,6,4,43,25.1,100.53,4,2,0,0,0,5.63,27.26
2009,M Manhas,Delhi Daredevils,7,5,47,15.45,107.22,8,1,0,0,0,6.42,30.72
2010,M Manhas,Pune Warriors,5,3,103,27.43,113.04,3,1,0,0,0,5.97,32.11
2011,M Manhas,Pune Warriors,4,3,31,15.18,105.78,5,2,0,0,0,5.41,32.23
2012,M Manhas,Pune Warriors,7,5,87,22.16,102.78,6,2,0,0,0,5.9,32.32
2013,M Manhas,Pune Warriors,4,3,101,25.1,124.59,4,2,0,0,0,6.09,32.46
2014,M Manhas,Pune Warriors,7,5,43,17.77,98.29,5,2,0,0,0,6.58,35.23
2018,M Markande,Mumbai Indians,4,1,4,14.08,106.43,1,0,0,0,2,9.53,33.58
2019,M Markande,Rajasthan Royals,5,1,6,10.2,100.79,0,0,0,0,2,8.85,26.72
2020/21,M Markande,Sunrisers Hyderabad,4,1,6,16.49,110.92,1,0,0,0,3,10.05,28.17
2021,M Markande,Sunrisers Hyderabad,4,1,8,21.0,114.54,1,0,0,0,5,9.33,26.21
2022,M Markande,Sunrisers Hyderabad,6,2,3,17.4,127.75,1,0,0,0,3,9.53,36.63
2023,M Markande,Sunrisers Hyderabad,2,1,7,14.11,111.08,1,0,0,0,3,9.15,32.27
2024,M Markande,Sunrisers Hyderabad,5,1,6,9.83,107.61,1,0,0,0,3,9.0,26.52
2025,M Markande,Sunrisers Hyderabad,7,2,2,16.9,127.73,1,0,0,0,3,9.22,30.5
2026,M Markande,Sunrisers Hyderabad,6,2,3,11.09,104.17,0,0,0,0,3,9.2,34.37
2009,M Morkel,Delhi Daredevils,10,3,8,13.02,145.7,1,1,0,0,15,7.82,29.52
2010,M Morkel,Kolkata Knight Riders,5,2,9,9.13,154.16,2,1,0,0,11,7.9,27.96
2011,M Morkel,Rajasthan Royals,13,4,19,15.43,157.32,1,1,0,0,14,7.26,27.35
2012,M Morkel,Rajasthan Royals,12,4,16,13.59,159.46,2,1,0,0,10,7.87,26.0
2013,M Morkel,Rajasthan Royals,13,4,15,13.25,121.15,1,0,0,0,15,7.8,28.69
2014,M Morkel,Rajasthan Royals,10,3,21,13.54,153.6,2,0,0,0,13,7.4,29.12
2015,M Morkel,Rajasthan Royals,12,4,7,10.56,157.04,2,0,0,0,5,7.58,25.88
2016,M Morkel,Rajasthan Royals,8,3,13,12.07,147.95,1,1,0,0,3,8.15,24.51
2008,M Muralidaran,Chennai Super Kings,10,1,4,3.69,73.9,0,0,0,0,12,6.62,28.06
2009,M Muralidaran,Kochi Tuskers Kerala,9,1,4,4.45,66.6,0,0,0,0,8,7.32,27.48
2010,M Muralidaran,Royal Challengers Bangalore,8,1,1,4.24,70.53,0,0,0,0,3,6.59,28.75
2011,M Muralidaran,Royal Challengers Bangalore,13,2,3,4.29,62.99,0,0,0,0,3,6.84,26.83
2012,M Muralidaran,Royal Challengers Bangalore,11,2,3,2.75,61.39,0,0,0,0,5,6.78,28.04
2013,M Muralidaran,Royal Challengers Bangalore,6,1,1,4.66,59.43,0,0,0,0,13,7.07,24.93
2014,M Muralidaran,Royal Challengers Bangalore,12,2,2,3.2,61.91,0,0,0,0,11,6.25,31.97
2008,M Ntini,Chennai Super Kings,10,2,16,11.75,64.97,3,0,0,0,5,6.7,33.9
2022,M Pathirana,Chennai Super Kings,5,1,0,15.11,137.08,0,0,0,0,8,9.43,20.4
2023,M Pathirana,Chennai Super Kings,5,1,0,26.83,123.49,0,0,0,0,19,8.07,23.14
2024,M Pathirana,Chennai Super Kings,10,1,0,14.46,133.29,0,0,0,0,18,8.75,19.34
2025,M Pathirana,Chennai Super Kings,8,1,0,22.74,135.73,0,0,0,0,10,8.37,25.41
2018,M Prasidh Krishna,Gujarat Titans,6,1,0,3.0,40.52,0,0,0,0,11,9.11,32.61
2019,M Prasidh Krishna,Kolkata Knight Riders,5,1,1,1.95,39.51,0,0,0,0,8,7.98,24.3
2020/21,M Prasidh Krishna,Rajasthan Royals,12,2,1,4.08,36.65,0,0,0,0,15,7.96,32.88
2021,M Prasidh Krishna,Rajasthan Royals,9,1,1,2.9,38.69,0,0,0,0,8,9.58,27.47
2022,M Prasidh Krishna,Rajasthan Royals,4,1,1,3.84,34.72,0,0,0,0,11,8.73,29.0
2023,M Prasidh Krishna,Rajasthan Royals,8,1,1,2.37,39.6,0,0,0,0,6,9.22,31.85
2024,M Prasidh Krishna,Rajasthan Royals,9,1,1,1.81,35.67,0,0,0,0,3,8.08,24.25
2025,M Prasidh Krishna,Rajasthan Royals,5,1,1,2.91,40.3,0,0,0,0,5,9.3,25.83
2026,M Prasidh Krishna,Rajasthan Royals,7,1,1,3.11,33.51,0,0,0,0,8,8.19,30.04
2008,M Rawat,Pune Warriors,4,3,6,15.19,80.99,1,0,0,0,0,8.09,32.44
2009,M Rawat,Rajasthan Royals,3,2,4,11.6,87.33,1,0,0,0,0,8.75,34.63
2010,M Rawat,Rajasthan Royals,4,3,7,9.78,72.96,1,0,0,0,0,8.83,29.63
2011,M Rawat,Rajasthan Royals,4,3,10,10.27,79.2,0,0,0,0,0,9.12,35.93
2012,M Rawat,Rajasthan Royals,4,3,5,9.3,77.29,1,0,0,0,0,8.67,30.15
2013,M Rawat,Rajasthan Royals,3,2,8,7.65,68.4,1,0,0,0,0,9.12,24.89
2021,M Shahrukh Khan,Gujarat Titans,9,8,127,25.65,130.06,12,12,1,0,0,9.59,26.63
2022,M Shahrukh Khan,Punjab Kings,10,9,128,27.35,166.1,9,6,1,0,0,10.26,23.9
2023,M Shahrukh Khan,Punjab Kings,9,8,52,22.02,130.56,8,4,1,0,0,9.67,28.63
2024,M Shahrukh Khan,Punjab Kings,12,10,166,23.82,148.47,8,5,3,0,0,9.08,22.84
2025,M Shahrukh Khan,Punjab Kings,8,7,83,28.64,152.63,5,12,1,0,0,9.51,27.47
2026,M Shahrukh Khan,Punjab Kings,8,7,60,13.03,163.8,10,8,1,0,0,8.49,27.65
2024,M Siddharth,Lucknow Super Giants,2,1,0,14.38,125.94,0,0,0,0,2,7.81,44.42
2025,M Siddharth,Lucknow Super Giants,1,1,0,21.92,133.89,0,0,0,0,1,8.58,41.86
2026,M Siddharth,Lucknow Super Giants,3,1,0,25.89,117.2,0,0,0,0,2,8.79,39.42
2022,M Theekshana,Chennai Super Kings,11,2,5,6.85,46.37,0,0,0,0,11,7.53,27.93
2023,M Theekshana,Rajasthan Royals,5,1,6,6.47,48.0,0,0,0,0,14,9.08,30.01
2024,M Theekshana,Rajasthan Royals,12,2,6,5.19,51.1,0,0,0,0,13,8.44,31.9
2025,M Theekshana,Rajasthan Royals,13,2,3,5.64,43.83,0,0,0,0,13,7.93,35.63
2025,M Tiwari,Delhi Capitals,1,1,2,3.21,64.53,0,0,0,0,0,9.28,33.56
2009,M Vijay,Chennai Super Kings,8,8,157,16.11,126.16,26,6,2,0,0,7.69,27.1
2010,M Vijay,Delhi Daredevils,12,12,111,35.53,136.9,30,6,1,0,0,8.65,34.34
2011,M Vijay,Kings XI Punjab,10,10,278,27.93,133.51,13,9,0,0,0,7.93,30.92
2012,M Vijay,Kings XI Punjab,6,6,159,35.0,123.04,24,7,0,0,0,7.41,25.87
2013,M Vijay,Kings XI Punjab,10,10,122,22.51,115.72,28,11,2,0,0,7.61,30.89
2014,M Vijay,Kings XI Punjab,10,10,341,33.27,133.0,21,7,2,0,0,8.46,31.31
2015,M Vijay,Kings XI Punjab,13,13,338,25.55,123.61,14,6,0,0,0,8.12,33.53
2016,M Vijay,Kings XI Punjab,5,5,158,32.17,126.31,28,8,1,0,0,8.04,34.37
2017,M Vijay,Kings XI Punjab,13,13,225,35.07,115.68,26,11,1,1,0,8.18,34.6
2018,M Vijay,Kings XI Punjab,13,13,123,34.97,139.83,10,6,1,0,0,8.02,34.69
2019,M Vijay,Kings XI Punjab,10,10,104,30.04,111.22,13,10,1,0,0,7.75,31.23
2020/21,M Vijay,Kings XI Punjab,9,9,151,30.47,128.05,18,8,1,0,0,8.85,24.84
2013,M Vohra,Kings XI Punjab,4,4,145,30.34,142.83,10,5,2,0,0,8.36,31.36
2014,M Vohra,Lucknow Super Giants,6,5,92,29.59,120.49,6,5,1,0,0,9.07,35.52
2015,M Vohra,Rajasthan Royals,5,5,103,24.5,117.38,7,2,1,0,0,9.13,28.23
2016,M Vohra,Royal Challengers Bangalore,5,5,41,22.89,118.32,13,4,0,0,0,8.57,33.58
2017,M Vohra,Royal Challengers Bangalore,4,4,141,19.12,126.76,8,4,0,0,0,8.39,32.5
2018,M Vohra,Royal Challengers Bangalore,5,5,79,14.6,117.75,10,6,0,0,0,8.85,28.57
2019,M Vohra,Royal Challengers Bangalore,4,4,109,25.9,131.65,14,5,2,0,0,8.56,34.69
2020/21,M Vohra,Royal Challengers Bangalore,3,3,68,25.1,143.94,13,2,1,0,0,8.7,30.67
2021,M Vohra,Royal Challengers Bangalore,4,4,58,13.56,145.03,6,4,1,0,0,8.54,35.76
2022,M Vohra,Royal Challengers Bangalore,5,5,90,22.84,137.03,12,6,1,0,0,8.45,30.35
2023,M Vohra,Royal Challengers Bangalore,5,5,147,21.2,119.91,5,3,1,0,0,9.3,35.48
2012,M de Lange,Kolkata Knight Riders,1,1,0,1.2,57.18,0,0,0,0,1,9.13,30.32
2013,M de Lange,Mumbai Indians,2,1,0,1.0,53.21,0,0,0,0,0,8.92,29.92
2014,M de Lange,Mumbai Indians,1,1,0,1.2,52.54,0,0,0,0,1,9.48,38.07
2015,M de Lange,Mumbai Indians,2,1,0,1.18,44.79,0,0,0,0,1,8.99,32.59
2011,MA Agarwal,Delhi Daredevils,11,10,270,31.83,139.5,19,9,0,0,0,7.83,29.72
2012,MA Agarwal,Kings XI Punjab,11,10,136,29.75,131.93,15,7,1,0,0,9.08,35.84
2013,MA Agarwal,Punjab Kings,12,11,132,26.1,133.5,25,10,0,0,0,7.97,26.14
2014,MA Agarwal,Rising Pune Supergiant,9,9,276,21.82,113.92,20,10,3,0,0,9.16,26.87
2015,MA Agarwal,Royal Challengers Bangalore,13,12,166,14.36,130.02,11,10,0,0,0,8.66,26.48
2016,MA Agarwal,Royal Challengers Bengaluru,9,9,226,18.21,151.36,19,5,2,0,0,9.12,28.51
2017,MA Agarwal,Sunrisers Hyderabad,12,11,244,15.17,135.16,13,5,3,0,0,7.85,33.82
2018,MA Agarwal,Sunrisers Hyderabad,5,5,218,22.79,133.98,16,6,2,0,0,9.35,35.11
2019,MA Agarwal,Sunrisers Hyderabad,10,10,139,31.42,127.14,10,6,2,0,0,8.62,35.72
2020/21,MA Agarwal,Sunrisers Hyderabad,6,6,230,15.3,118.09,14,4,1,0,0,9.14,35.48
2021,MA Agarwal,Sunrisers Hyderabad,7,7,236,25.95,128.19,21,7,4,0,0,7.75,29.44
2022,MA Agarwal,Sunrisers Hyderabad,8,8,143,29.82,137.94,16,5,1,0,0,7.81,33.99
2023,MA Agarwal,Sunrisers Hyderabad,5,5,251,16.26,138.75,10,8,2,0,0,9.15,29.56
2024,MA Agarwal,Sunrisers Hyderabad,12,11,153,29.54,120.39,14,10,0,0,0,8.99,32.85
2025,MA Agarwal,Sunrisers Hyderabad,13,12,170,19.09,146.96,24,4,2,1,0,8.63,25.08
2008,MA Khote,Mumbai Indians,5,4,20,12.69,111.81,2,1,0,0,1,9.23,29.84
2014,MA Starc,Delhi Capitals,5,2,14,8.68,90.66,1,0,0,0,2,9.3,19.3
2015,MA Starc,Kolkata Knight Riders,5,2,6,12.52,99.15,1,0,0,0,5,8.1,24.05
2016,MA Starc,Royal Challengers Bangalore,5,2,5,10.04,87.4,1,0,0,0,3,9.07,19.89
2017,MA Starc,Royal Challengers Bangalore,4,2,15,6.37,87.39,1,0,0,0,8,8.71,20.0
2018,MA Starc,Royal Challengers Bangalore,5,2,10,11.52,87.73,1,0,0,0,4,8.07,26.12
2019,MA Starc,Royal Challengers Bangalore,2,1,6,8.64,106.26,1,0,0,0,7,8.95,19.37
2020/21,MA Starc,Royal Challengers Bangalore,4,2,4,8.48,105.18,1,0,0,0,8,9.45,26.92
2021,MA Starc,Royal Challengers Bangalore,5,2,11,13.22,101.47,0,0,0,0,5,7.81,26.02
2022,MA Starc,Royal Challengers Bangalore,5,2,15,8.25,101.64,1,0,0,0,6,8.49,27.36
2023,MA Starc,Royal Challengers Bangalore,2,1,12,9.72,100.3,1,0,0,0,3,8.97,24.54
2024,MA Starc,Royal Challengers Bangalore,3,1,4,7.63,93.2,1,0,0,0,6,9.0,19.35
2025,MA Starc,Royal Challengers Bangalore,6,3,11,9.6,102.98,1,0,0,0,2,8.07,26.42
2018,MA Wood,Chennai Super Kings,1,1,1,5.26,154.84,0,0,0,0,2,9.12,18.47
2019,MA Wood,Lucknow Super Giants,1,1,1,6.91,130.17,0,0,0,0,2,9.38,15.09
2020/21,MA Wood,Lucknow Super Giants,1,1,2,6.29,136.41,0,0,0,0,1,8.59,18.51
2021,MA Wood,Lucknow Super Giants,1,1,3,6.2,151.18,0,0,0,0,1,9.62,14.13
2022,MA Wood,Lucknow Super Giants,1,1,2,7.87,168.6,0,0,0,0,3,8.31,15.45
2023,MA Wood,Lucknow Super Giants,1,1,2,4.15,153.42,0,0,0,0,2,8.1,14.41
2010,MB Parmar,Kolkata Knight Riders,1,1,0,15.3,127.58,0,0,0,0,0,11.83,34.09
2009,MC Henriques,Delhi Daredevils,6,5,69,26.41,127.62,6,2,1,0,3,8.79,27.91
2010,MC Henriques,Kolkata Knight Riders,3,3,102,19.56,123.11,7,2,0,0,1,7.87,35.48
2011,MC Henriques,Punjab Kings,2,2,40,33.31,118.12,4,2,0,0,5,7.93,26.74
2012,MC Henriques,Royal Challengers Bangalore,3,3,69,25.13,111.75,6,1,1,0,3,7.38,26.99
2013,MC Henriques,Sunrisers Hyderabad,6,5,103,24.25,134.87,5,2,2,0,2,8.91,35.72
2014,MC Henriques,Sunrisers Hyderabad,7,6,118,38.23,145.62,4,2,2,0,3,7.47,27.83
2015,MC Henriques,Sunrisers Hyderabad,4,3,62,29.25,133.55,3,1,1,0,5,7.37,27.39
2016,MC Henriques,Sunrisers Hyderabad,7,6,45,33.89,144.28,9,3,0,0,5,7.94,31.76
2017,MC Henriques,Sunrisers Hyderabad,6,5,101,33.19,138.43,8,3,2,0,3,8.19,31.12
2018,MC Henriques,Sunrisers Hyderabad,5,4,121,29.67,117.71,8,3,0,0,5,8.31,25.6
2019,MC Henriques,Sunrisers Hyderabad,6,5,104,35.68,136.56,8,2,0,0,5,7.72,34.57
2020/21,MC Henriques,Sunrisers Hyderabad,5,4,32,25.99,138.72,6,3,0,0,5,7.86,32.66
